=== DIAG START === Pose: Pose2d(Translation2d(X: 0.68, Y: 0.21), Rotation2d(Rads: 0.06, Deg: 3.45))
[DIAG ROT pi/s t=270] pose=(3.781,0.562,155.0deg) vel=(-0.000,-0.000,3.203) V=11.34
[DIAG ROT pi/s t=275] pose=(3.781,0.562,164.1deg) vel=(-0.000,0.000,3.203) V=11.24
[DIAG ROT pi/s t=280] pose=(3.781,0.562,173.3deg) vel=(0.000,0.000,3.203) V=11.34
[DIAG ROT pi/s t=285] pose=(3.781,0.562,-177.5deg) vel=(0.000,-0.000,3.203) V=11.24
[DIAG ROT pi/s t=290] pose=(3.781,0.562,-168.3deg) vel=(0.000,0.000,3.203) V=11.34
[DIAG ROT pi/s t=295] pose=(3.781,0.562,-159.2deg) vel=(-0.000,0.000,3.203) V=11.24
=== ROT DONE === Rotated -151.8 deg (expected ~540 deg)
[DIAG STOP t=300] pose=(3.781,0.562,-150.0deg) vel=(-0.000,0.000,3.203) V=11.34
[DIAG STOP t=305] pose=(3.781,0.562,-142.8deg) vel=(0.000,0.000,-0.060) V=11.00
[DIAG STOP t=310] pose=(3.780,0.559,-139.8deg) vel=(0.014,0.030,0.633) V=11.34
=== DIAG COMPLETE ===
